Match,Match Notes
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 40.1: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - BA Stokes (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 57.5: Review by Australia (Bowling), Umpire - Aleem Dar, Batsman - BA Stokes (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 25.1: Review by England (Bowling), Umpire - Aleem Dar, Batsman - M Labuschagne (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 45.4: Review by England (Bowling), Umpire - Aleem Dar, Batsman - PJ Cummins (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 72.3: Review by England (Bowling), Umpire - Aleem Dar, Batsman - PJ Cummins (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 87.5: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - SPD Smith (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 93.1: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - NM Lyon (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 22.5: Review by Australia (Batting), Umpire - Aleem Dar, Batsman - CT Bancroft (Struck down - Umpires Call)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 30.1: Review by England (Bowling), Umpire - Aleem Dar, Batsman - TM Head (Upheld)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 35.6: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - MS Wade (Upheld)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 15.6: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - JL Denly (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 57.5: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - JM Bairstow (Struck down)"
"2nd Test, ICC World Test Championship at London, Aug 14-18 2019","Over 64.6: Review by England (Batting), Umpire - Aleem Dar, Batsman - CR Woakes (Struck down)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 28.3: Review by Sri Lanka (Batting), Umpire - MA Gough, Batsman - FDM Karunaratne (Upheld)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 43.5: Review by Sri Lanka (Batting), Umpire - BNJ Oxenford, Batsman - FDM Karunaratne (Struck down)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 44.6: Review by New Zealand (Bowling), Umpire - MA Gough, Batsman - MDK Perera (Struck down)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 85.3: Review by New Zealand (Batting), Umpire - MA Gough, Batsman - TWM Latham (Struck down)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 107.1: Review by Sri Lanka (Bowling), Umpire - MA Gough, Batsman - C de Grandhomme (Struck down)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 74.5: Review by Sri Lanka (Batting), Umpire - BNJ Oxenford, Batsman - MDK Perera (Struck down - Umpires Call)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 85.1: Review by Sri Lanka (Batting), Umpire - MA Gough, Batsman - L Embuldeniya (Struck down)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 48.2: Review by Sri Lanka (Bowling), Umpire - BNJ Oxenford, Batsman - TWM Latham (Struck down)"
"2nd Test, ICC World Test Championship at Colombo, Aug 22-26 2019","Over 48.4: Review by New Zealand (Batting), Umpire - BNJ Oxenford, Batsman - BJ Watling (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 97.1: Review by England (Batting), Umpire - CB Gaffaney, Batsman - JM Bairstow (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 115.2: Review by England (Batting), Umpire - CB Gaffaney, Batsman - SCJ Broad (Struck down)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 123.6: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - MJ Leach (Struck down)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 51.2: Review by England (Batting), Umpire - CB Gaffaney, Batsman - JE Root (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 58.4: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - JL Denly (Struck down)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 5.5: Review by England (Batting), Umpire - JS Wilson, Batsman - JL Denly (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 26.4: Review by England (Batting), Umpire - CB Gaffaney, Batsman - JC Archer (Struck down)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 1.2: Review by Australia (Batting), Umpire - JS Wilson, Batsman - DA Warner (Struck down - Umpires Call)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 7.4: Review by England (Bowling), Umpire - JS Wilson, Batsman - MS Harris (Struck down)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 37.6: Review by England (Bowling), Umpire - JS Wilson, Batsman - MS Wade (Struck down - Umpires Call)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 38.2: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - M Labuschagne (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 53.3: Review by Australia (Batting), Umpire - JS Wilson, Batsman - TD Paine (Struck down)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 8.4: Review by England (Bowling), Umpire - CB Gaffaney, Batsman - UT Khawaja (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 30.5: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - DA Warner (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 42.6: Review by England (Bowling), Umpire - CB Gaffaney, Batsman - TD Paine (Upheld)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 49.6: Review by Australia (Batting), Umpire - JS Wilson, Batsman - PJ Cummins (Struck down)"
"3rd Test, ICC World Test Championship at Leeds, Aug 22-25 2019","Over 51.2: Review by Australia (Batting), Umpire - JS Wilson, Batsman - M Labuschagne (Struck down)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 107.3: Review by West Indies (Bowling), Umpire - RA Kettleborough, Batsman - AM Rahane (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 15.4: Review by India (Bowling), Umpire - RJ Tucker, Batsman - KAJ Roach (Struck down)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 15.5: Review by India (Bowling), Umpire - RJ Tucker, Batsman - KAJ Roach (Struck down)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 20.4: Review by West Indies (Batting), Umpire - RA Kettleborough, Batsman - KAJ Roach (Upheld)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 67.2: Review by India (Bowling), Umpire - RA Kettleborough, Batsman - JO Holder (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 71.5: Review by West Indies (Batting), Umpire - RA Kettleborough, Batsman - ML Cummins (Upheld)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 73.2: Review by India (Bowling), Umpire - RA Kettleborough, Batsman - ST Gabriel (Struck down)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 44.2: Review by West Indies (Bowling), Umpire - RJ Tucker, Batsman - AM Rahane (Struck down)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 29.1: Review by West Indies (Batting), Umpire - RA Kettleborough, Batsman - DM Bravo (Struck down)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 4.2: Review by West Indies (Bowling), Umpire - RA Kettleborough, Batsman - MA Agarwal (Upheld)"
"1st Test, ICC World Test Championship at North Sound, Aug 22-25 2019","Over 60.6: Review by India (Batting), Umpire - RA Kettleborough, Batsman - RA Jadeja (Upheld)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 22.5: Review by India (Bowling), Umpire - RA Kettleborough, Batsman - RL Chase (Struck down)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 27.5: Review by West Indies (Batting), Umpire - PR Reiffel, Batsman - RL Chase (Struck down - Umpires Call)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 34.3: Review by India (Bowling), Umpire - RA Kettleborough, Batsman - J Blackwood (Struck down)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 44.2: Review by India (Bowling), Umpire - PR Reiffel, Batsman - KAJ Roach (Struck down)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 4.6: Review by India (Batting), Umpire - RA Kettleborough, Batsman - MA Agarwal (Struck down - Umpires Call)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 27.4: Review by West Indies (Bowling), Umpire - PR Reiffel, Batsman - AM Rahane (Struck down)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 115.2: Review by India (Batting), Umpire - PR Reiffel, Batsman - GH Vihari (Upheld)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 8.3: Review by West Indies (Batting), Umpire - PR Reiffel, Batsman - SSJ Brooks (Struck down)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 8.4: Review by India (Bowling), Umpire - PR Reiffel, Batsman - RL Chase (Upheld)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 20.3: Review by West Indies (Bowling), Umpire - RA Kettleborough, Batsman - V Kohli (Struck down)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 39.1: Review by India (Batting), Umpire - PR Reiffel, Batsman - MA Agarwal (Upheld)"
"2nd Test, ICC World Test Championship at Kingston, Aug 30 - Sep 2 2019","Over 61.3: Review by West Indies (Bowling), Umpire - PR Reiffel, Batsman - GH Vihari (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 53.1: Review by England (Batting), Umpire - HDPK Dharmasena, Batsman - JM Bairstow (Struck down - Umpires Call)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 62.5: Review by England (Batting), Umpire - M Erasmus, Batsman - C Overton (Upheld)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 76.1: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - C Overton (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 91.3: Review by England (Batting), Umpire - HDPK Dharmasena, Batsman - C Overton (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 93.3: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - JC Buttler (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 6.1: Review by Australia (Batting), Umpire - M Erasmus, Batsman - MS Harris (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 9.3: Review by Australia (Batting), Umpire - HDPK Dharmasena, Batsman - M Labuschagne (Struck down - Umpires Call)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 31.5: Review by England (Bowling), Umpire - HDPK Dharmasena, Batsman - MS Wade (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 42.3: Review by England (Bowling), Umpire - M Erasmus, Batsman - MA Starc (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 54.1: Review by Australia (Bowling), Umpire - HDPK Dharmasena, Batsman - JE Root (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 119.3: Review by England (Bowling), Umpire - M Erasmus, Batsman - MA Starc (Struck down)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 6.6: Review by Australia (Batting), Umpire - HDPK Dharmasena, Batsman - MS Harris (Struck down - Umpires Call)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 15.6: Review by England (Bowling), Umpire - M Erasmus, Batsman - M Labuschagne (Struck down - Umpires Call)"
"4th Test, ICC World Test Championship at Manchester, Sep 4-8 2019","Over 42.3: Review by England (Bowling), Umpire - HDPK Dharmasena, Batsman - TM Head (Struck down)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 92.3: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - JC Archer (Upheld)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 44.1: Review by England (Bowling), Umpire - M Erasmus, Batsman - TD Paine (Struck down)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 48.6: Review by England (Bowling), Umpire - M Erasmus, Batsman - MS Wade (Struck down)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 55.6: Review by Australia (Batting), Umpire - HDPK Dharmasena, Batsman - TD Paine (Struck down)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 71.1: Review by Australia (Batting), Umpire - HDPK Dharmasena, Batsman - MS Wade (Upheld)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 1.5: Review by England (Bowling), Umpire - M Erasmus, Batsman - DA Warner (Upheld)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 32.3: Review by England (Bowling), Umpire - HDPK Dharmasena, Batsman - MS Wade (Struck down)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 36.4: Review by Australia (Batting), Umpire - HDPK Dharmasena, Batsman - MS Wade (Struck down - Umpires Call)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 53.5: Review by Australia (Batting), Umpire - M Erasmus, Batsman - PJ Cummins (Struck down)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 3.6: Review by England (Batting), Umpire - HDPK Dharmasena, Batsman - RJ Burns (Upheld)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 3.3: Review by England (Batting), Umpire - M Erasmus, Batsman - RJ Burns (Upheld)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 57.1: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - JC Buttler (Struck down)"
"5th Test, ICC World Test Championship at The Oval, Sep 12-15 2019","Over 59.4: Review by England (Batting), Umpire - M Erasmus, Batsman - JM Bairstow (Struck down)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 26.4: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - VD Philander (Upheld)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 26.5: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - KA Maharaj (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 128.1: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - K Rabada (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 131.2: Review by India (Bowling), Umpire - RK Illingworth, Batsman - K Rabada (Upheld)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 47.6: Review by South Africa (Bowling), Umpire - CB Gaffaney, Batsman - CA Pujara (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 50.6: Review by India (Batting), Umpire - RK Illingworth, Batsman - CA Pujara (Struck down)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 52.6: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - RA Jadeja (Struck down)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 3.3: Review by India (Bowling), Umpire - RK Illingworth, Batsman - D Elgar (Upheld)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 108.5: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - S Muthusamy (Struck down)"
"1st Test, ICC World Test Championship at Visakhapatnam, Oct 2-6 2019","Over 126.2: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - GH Vihari (Struck down - Umpires Call)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 17.4: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - F du Plessis (Struck down - Umpires Call)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 43.1: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - T Bavuma (Struck down)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 67.2: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - KA Maharaj (Struck down)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 44.2: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - S Muthusamy (Struck down)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 102.6: Review by India (Bowling), Umpire - NJ Llong, Batsman - K Rabada (Struck down)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 105.4: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - K Rabada (Struck down)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 100.1: Review by South Africa (Bowling), Umpire - CB Gaffaney, Batsman - AM Rahane (Struck down)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 9.1: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - T Bavuma (Upheld)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 9.5: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - A Nortje (Upheld)"
"2nd Test, ICC World Test Championship at Pune, Oct 10-13 2019","Over 4.4: Review by South Africa (Bowling), Umpire - CB Gaffaney, Batsman - MA Agarwal (Struck down - Umpires Call)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 27.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - Zubayr Hamza (Struck down)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 41.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - GF Linde (Struck down)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 56.2: Review by South Africa (Batting), Umpire - RK Illingworth, Batsman - A Nortje (Struck down)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 6.6: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - F du Plessis (Struck down)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 43.1: Review by India (Bowling), Umpire - RK Illingworth, Batsman - TB de Bruyn (Struck down)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 80.4: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - RG Sharma (Struck down)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 8.3: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - CA Pujara (Upheld)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 10.2: Review by India (Batting), Umpire - RK Illingworth, Batsman - RG Sharma (Upheld)"
"3rd Test, ICC World Test Championship at Ranchi, Oct 19-22 2019","Over 15.3: Review by India (Batting), Umpire - NJ Llong, Batsman - V Kohli (Struck down - Umpires Call)"
