innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,Partnership_broken,match
England 2nd innings,48.4,"Siddle to Woakes, no run, 82.9mph, cuts in off the seam, onto the thighs with Woakes missing the glance",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,48.3,"Siddle to Woakes, no run, does well to stay late and beside this one, stabbing away to cover",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,48.2,"Siddle to Woakes, no run, a tad shorter. Woakes goes back, across and taps out to point",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,48.1,"Siddle to Woakes, no run, meek poke. Beaten big. Siddle gets it to straighten off a good length just outside off, whizzing past Woakes' half-cooked attempted push",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,47.6,"Lyon to Anderson, no run, wrists it away to leg, with Lyon tossing it up on the stumps. Okay, job well done ..",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,47.5,"Lyon to Anderson, no run, he'll plonk and block. Keeps out the hat-trick, solidly getting behind this middle-stump flat dart",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,47.4,"Lyon to Broad, out Caught by Smith!! Five. Six. Consecutive numbers, consecutive balls. Poor Broad, he's had to make himself a statistic in these times when all his more-qualified batsmen have deserted him. Lyon does the usual, ripping them on off, Broad has to play at it, and this time slip does what gully did to Moeen. Broad c Smith b Lyon 0(1)",9,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,47.3,"Lyon to Moeen Ali, out Caught by Warner!! The trap's right there for the world to see. Surely Moeen's seen it. And he'll still be forced to walk blindly into it. Such has been Lyon's mastery here -- the Goat turns Spiderman with this bloody good web of spin. He has his fifth victim, the first time he's getting five in England, and he gets it with a snorter. It's drifting into middle, forcing Ali to defend, which he does with hard hands, getting squared up big time as the outside edge goes to short gully at the perfect height. Moeen Ali c Warner b Lyon 4(28)",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,47.2,"Lyon to Woakes, 1 run, flatter, fuller, Woakes now has a stride close in to drive through the line, past point",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,47.1,"Lyon to Woakes, no run, giant venomous cobra. Woakes shows no feet, poking awkwardly away from his body, only for this li'l ripper to kick up and go through his defence big time",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,46.6,"Siddle to Moeen Ali, no run, 83.1mph, length, fifth-stumped. Moeen's happy to ignore",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,46.5,"Siddle to Moeen Ali, no run, 84.6mph, chipped uppishly, and Siddle almost pulls off what he did with Root in the first outing. Moeen checks his forward drive, flying just wide of Siddle's stuck out palm",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,46.4,"Siddle to Moeen Ali, no run, nips in bigger onto middle. Ali uses his bat, knocking it softly to leg",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,46.3,"Siddle to Moeen Ali, no run, and Moeen nearly leaves it for the ball to crash into off. Again. Nearly. He's being weirdly brave here to this incoming delivery, that doesn't even bounce much. Millimeters ..",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,46.2,"Siddle to Moeen Ali, 2 runs, 85mph, easy defensive punches there - staying tall, staying beside and merely steering them away through sweeper",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,46.1,"Siddle to Moeen Ali, no run, full, some tail back in on off. Moeen has a big stride to it, driving out to mid-off",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,45.6,"Smith to Woakes, no run, full toss and Woakes has missed out there, went a bit too hard on his hack and mistimed it to mid-wicket",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,45.5,"Smith to Woakes, no run, very full delivery on the stumps, jammed out into the off-side",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,45.4,"Smith to Woakes, no run, stays low and foils Woakes' attempted cut shot, chopped to cover",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,45.3,"Smith to Woakes, no run, and again.. This time Woakes had a bigger lunge to get his pad in the way",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,45.2,"Smith to Woakes, no run, lands it in the rough and gets it to spin across, Woakes kicks it away using his pad",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,45.1,"Smith to Woakes, no run, tossed up outside off, Woakes bends down and drives it to cover",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,44.6,"Siddle to Moeen Ali, no run, fuller and around off, Ali prods forward and defends it into the off-side",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,44.5,"Siddle to Moeen Ali, no run, another loud shout for LBW. This was definitely high even in real speed. Once again Ali is caught in no man's land with his feet and is struck on the thigh pad, Siddle went up quickly but umpire Wilson got it spot on",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,44.4,"Siddle to Moeen Ali, no run, Australia have lost one review. The ball decks in sharply and beats Ali on the inside edge, the ball hit him above the kneeroll and the height was always going to be the issue. Ball-tracking confirmed it was, umpire Wilson getting a few back now",8,"Over 44.4: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - MM Ali (Struck down)",Australia (Bowling),MM Ali,JS Wilson,Struck down,False,True,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,44.3,"Siddle to Moeen Ali, no run, angled in from a length, Ali sees the line outside off and lets it pass",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,44.2,"Siddle to Woakes, 1 run, fuller and around off, Woakes pushes it back to Siddle, who gets a hand to make a half stop",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,44.1,"Siddle to Woakes, no run, wow! That is a peach from Siddle. Nip-backer and Woakes had no clue about it, he was rooted to the crease and pushed outside the line, the ball cut him in half and flew over the stumps",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,43.6,"Lyon to Moeen Ali, no run, shortens the length and Ali is on the back foot to turn it to the left of Lyon",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,43.5,"Lyon to Moeen Ali, no run, wider and drifted in, Ali blocks it dead near his feet",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,43.4,"Lyon to Moeen Ali, no run, tossed up just outside off, Ali presses forward and covers his stumps before leaving it",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,43.3,"Lyon to Moeen Ali, no run, lands it on the rough and scoots through to Paine, left alone",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,43.2,"Lyon to Moeen Ali, no run, quicker and attacking the stumps, Ali hangs back and defends",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,43.1,"Lyon to Moeen Ali, no run, slower and on off-stump, Ali outer halves the forward block to backward point",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,42.6,"Pattinson to Woakes, FOUR, third boundary of the over. Woakes has managed to bring the home supporters to life. Short and way outside off, he could have easily left that, but instead chases it and slaps the cut past point",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,42.5,"Pattinson to Woakes, no run, back of a length outside off, Woakes drops it safely into the off-side",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,42.4,"Pattinson to Woakes, FOUR, now the fuller delivery and Woakes was expecting that, it was on middle and leg, clipped away with a whole lot of timing through the mid-wicket gap. No chance once again for deep square leg",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,42.3,"Pattinson to Woakes, FOUR, smashed! Playing fire with fire, is Woakes. Short of length delivery and Woakes is quickly into position to play the pull, nails it in front of square and gives the fielder in the deep no chance",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,42.2,"Pattinson to Woakes, no run, back of a length on off, Woakes pushes it firmly to mid-off",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,42.1,"Pattinson to Woakes, no run, uhh! 87.2 short ball aimed for the batsman, Woakes takes his eyes off the ball but did well to play it with soft hands, the ball drops it ground in front of a waiting short leg",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,41.6,"Lyon to Moeen Ali, no run, almost! Quicker delivery that stays low, Ali goes right back and brings his bat down to keep it out",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,41.5,"Lyon to Moeen Ali, no run, once again dips in front of the batsman, blocked back down the wicket",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,41.4,"Lyon to Moeen Ali, no run, drifts into the left hander, Ali defends with the bat in front of the pad",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,41.3,"Lyon to Moeen Ali, no run, tossed up on off, Ali with a half-cooked stride blocks into the off-side",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,41.2,"Lyon to Moeen Ali, no run, spinning away from outside off, Ali ignores",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,41.1,"Lyon to Moeen Ali, 2 runs, big cheer as Ali gets off the mark. He picks the flighted delivery from the stumps and sweeps it to deep backward square, the tag team of two fast bowlers keeps it to a brace",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,40.6,"Pattinson to Woakes, no run, short of length delivery and Woakes swivels to play the pull, once again the ball does not bounce much and it hits him on the mid-riff",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,40.5,"Pattinson to Woakes, no run, good length ball just outside off, Woakes blocks it to mid-off",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,40.4,"Pattinson to Woakes, no run, sprays the bouncer down leg, Woakes stands his ground and leaves",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,40.3,"Pattinson to Woakes, no run, back of a length angled in, Woakes stays behind the line to defend",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,40.2,"Pattinson to Woakes, FOUR, Australia won't mind that. Woakes is trying to play every delivery. On a length outside off, he goes with hard hands and squirts it off the outer half behind point, got enough wood to take it to the fence",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,40.1,"Pattinson to Woakes, no run, good length ball and it hits the splice of the bat, Woakes had to take the bottom hand off the bat handle to soften the impact",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,39.6,"Lyon to Moeen Ali, no run, big turn but the line is outside off, Ali is not bothered with it, left alone",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,39.5,"Lyon to Moeen Ali, no run, judges the offie nicely, covers his stumps and shoulders arm",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,39.4,"Lyon to Woakes, 1 run, flatter delivery on the stumps, nudged away backward of square leg",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,39.3,"Lyon to Woakes, no run, quicker and attacking the stumps, Woakes hangs back and keeps it out",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,39.2,"Lyon to Woakes, no run, spinning in and Woakes is beaten on the inside edge now, rapped on the pads and Lyon goes up for an LBW. The ball was spinning too much and would have missed leg-stump",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,39.1,"Lyon to Woakes, no run, turning in from a shortish length, Woakes misses the nurdle and the ball lobs off the thigh pad to short leg",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,38.6,"Pat Cummins to Woakes, 1 run, oh! The ball is doing all sorts of things. This one climbs up from back of a length and has Woakes in an awkward position, fends it uppishly through the backward square region",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,38.5,"Pat Cummins to Woakes, no run, bouncer and a well-directed one, Woakes half ducks and evades it comfortably",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,38.4,"Pat Cummins to Woakes, 2 runs, short of length outside off, Woakes punches it through the open cover region and picks up two more",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,38.3,"Pat Cummins to Woakes, no run, back of a length stays low, Woakes adjusts quickly to keep it out",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,38.2,"Pat Cummins to Woakes, leg byes, FOUR, boundaries are coming with Woakes on strike. This is not off the bat. Angled down leg, Woakes misses the glance and the ball deflects off the pad to fine leg",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,38.1,"Pat Cummins to Woakes, FOUR, Woakes trying to counterattack! That's his way to go. A full ball outside off and it's been sliced past backward point by Woakes, was in the air for a while but well past the fielder",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,37.6,"Lyon to Moeen Ali, no run, hits the rough outside off and gets it to keep it low, Ali shoulders arms",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,37.5,"Lyon to Moeen Ali, no run, oh! Lyon has his hands on his head. Ali leaves another Lyon delivery and this time it is not on the stumps. Outside off and going on straight",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,37.4,"Lyon to Moeen Ali, no run, tossed up around off, Ali plunges forward and drops it dead near his feet",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,37.3,"Lyon to Woakes, 1 run, looks like Woakes will play with a positive intent. FLighted around off, Woakes with a big stride forward whips it uppishly past mid-wicket, needed a diving save near mid-on to stop the boundary",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,37.2,"Lyon to Woakes, FOUR, off the mark in fine fashion. Lyon won't mind it as Woakes is confident enough to play the drive. This was overpitched outside off, Woakes bends low and crunches the drive in front of square",8,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,37.1,"Lyon to Stokes, out Caught by Paine!! That should be - Game. Set. Match. Stokes was the only remaining hope for England and he too departs. A magical delivery from Lyon. Tossed up and got it to drift into the left hander, Stokes prods forward to defend, the ball spins and takes the outside edge, sharp catch by Paine as he took it almost near his chest. 350th Test wicket for Lyon. The GOAT is turning a web at Edgbaston. Australia are three wickets away now. Stokes c Paine b Lyon 6(28) [4s-1]",7,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,36.6,"Pat Cummins to Bairstow, out Caught by Bancroft!! Bairstow is very unlucky here. But he did feel it was above his wristband and hence challenged the decision. The third umpire had a couple of looks and deemed in favour of the bowling side. England have lost both their reviews now. Another short delivery that refuses to bounce, Bairstow bends and arches back, but the low bounce does him in, the ball hits the sweatband on the glove before lobbing to third slip. A simple catch for Australia and they were confident. Umpire Wilson needed a nudge and it came from his partner at square leg. A quick glance and up went the finger. Bairstow c Bancroft b Pat Cummins 6(8) [4s-1]",6,"Over 36.6: Review by England (Batting), Umpire - JS Wilson, Batsman - JM Bairstow (Struck down)",England (Batting),JM Bairstow,JS Wilson,Struck down,False,False,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,36.5,"Pat Cummins to Bairstow, no run, fuller and just outside off, Bairstow pushes with hard hands and the inside edge rolls to mid-on",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,36.4,"Pat Cummins to Bairstow, no run, good length ball outside off, Bairstow lifts his bat and lets it go",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,36.3,"Pat Cummins to Bairstow, no run, banged in halfway down and it does bounce as much as Bairstow expected, he arches back to sway away from the line and the ball deflects off his chest to first slip. Shows no sign of pain",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,36.2,"Pat Cummins to Bairstow, FOUR, lovely shot! Not much wrong with the delivery. Slanted in on off, Bairstow picks it from there and clips it past the diving short mid-wicket, no chance for Pattinson to catch up on the chase",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,36.1,"Pat Cummins to Bairstow, no run, good length ball angled in, Bairstow knocks it back to Cummins",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,35.6,"Lyon to Stokes, no run, flighted outside off, turning away and Stokes does not bother with it, left alone",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,35.5,"Lyon to Stokes, no run, sees the ball drifting in and closes the bat face to work it into the leg-side, the leading edge is found and it rolls back towards Lyon",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,35.4,"Lyon to Stokes, no run, pushed it through a bit, Stokes stays back and bunts it down the wicket",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,35.3,"Lyon to Stokes, no run, fuller than he would have liked and that is an easy block for Stokes",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,35.2,"Lyon to Stokes, no run, drifts in on leg-stump, Stokes presses forward and blocks to short leg",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,35.1,"Lyon to Bairstow, 1 run, quicker and around off, Bairstow goes back and works it with the spin backward of square",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,34.6,"Pat Cummins to Stokes, no run, on a length and straightening outside off, Stokes shoulders arms",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,34.5,"Pat Cummins to Stokes, no run, fuller and close to off, Stokes prods forward and blocks it on the wicket",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,34.4,"Pat Cummins to Stokes, no run, uhhh! Bit of indecision from Stokes. Good length ball in the channel around off, Stokes is not sure whether to play or leave, by the time he lifted his bat up, the ball had already passed it",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,34.3,"Pat Cummins to Stokes, no run, back of a length angled in, Stokes drops it dead near his feet",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,34.2,"Pat Cummins to Stokes, FOUR, edged and four! Good length ball and Stokes hangs back to it, opened up by the movement and the thickish outside edge runs away past the third slip fielder. It was not an opportunity as the ball went to ground quickly",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,34.1,"Pat Cummins to Stokes, no run, back of a length just outside off, Stokes lifts his bat and lets it go",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,33.6,"Lyon to Stokes, 1 run, drifts in and straightens, Stokes inside halves the forward block into the leg-side",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,33.5,"Lyon to Stokes, no run, flatter delivery turning away, Stokes defends off the back foot",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,33.4,"Lyon to Bairstow, 1 run, even Bairstow plays Lyon off the back foot, waits for the ball to spin in and nudges it backward of square",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,33.3,"Lyon to Stokes, 1 run, similar length and Stokes is comfortable sitting back, nurdled round the corner",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,33.2,"Lyon to Stokes, no run, rippah! Lyon is getting to turn sharply even from a shortish length, Stokes goes back and hangs his bat out a bit, the ball spins and bounces to beat the outside edge",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,33.1,"Lyon to Stokes, no run, fraction short in length, Stokes stands tall and drops it dead in front of gully",6,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,32.6,"Pat Cummins to Buttler, out Bowled!! Cleaned up! The perfect start for Australia after lunch. Cummins strikes in the first over. But it was more of the surface than the delivery that did Buttler in. Back of a length ball that refuses to bounce, to make matters worse Buttler is caught deep in the crease, by the time he crouches and tries to bring his bat down, the ball had already kissed the off-stump. The bails do come off on this occasion and England have lost their fifth. Buttler b Pat Cummins 1(25)",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,32.5,"Pat Cummins to Buttler, no run, dangles it full and outside off, Buttler does not take the bait as he lets it pass",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,32.4,"Pat Cummins to Buttler, no run, spears in the yorker on off and middle, jammed back to Cummins",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,32.3,"Pat Cummins to Buttler, no run, angling in from a fullish length, Buttler blocks it down the wicket",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,32.2,"Pat Cummins to Buttler, no run, fuller and around off, Buttler prods forward and defends into the off-side",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,32.1,"Pat Cummins to Buttler, no run, immediately goes past the bat. Three quarter length with a scrambled seam, Buttler hangs back and plays for the incoming angle, the ball just held its line and went past the outside edge",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,31.6,"Lyon to Stokes, no run, almost a wicket off the final ball. Produced the inside edge and it came back to hit the boot, popped up in the air but short of silly point. That will be Lunch on day 5! ",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,31.5,"Lyon to Stokes, no run, this one was closer to the stumps, Stokes watched it closely and decides to leave it alone",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,31.4,"Lyon to Stokes, no run, sharp turn from that footmark, Stokes leaves it alone",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,31.3,"Lyon to Stokes, no run, again, pitched on that footmark and jumped viciously. Smith takes it at first slip",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,31.2,"Lyon to Stokes, no run, fuller and on the stumps, blocked to the leg-side",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,31.1,"Lyon to Stokes, no run, it hits the footmark and spins away, Stokes goes back and punches it to cover",5,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
