title,paragraphs
2009 Angsi D Dev CLO (Final).pdf,"BENCHMARKS The Angsi-D Development Project’s cost was not competitive compared with industry  benchmarks, while the facilities’ schedule performance was more competitive than industry. The  tables in this section summarise the results of our analysis and present the Angsi-D Development Project metrics, industry averages, and Petronas averages for each key metric. Project Outcome Metrics Table 1 and Table 2 present the principal outcome metrics for the Angsi-D Development Project. We assess both the estimated and actual outcomes versus Industry, as well as the cost  and schedule predictability of the sanction estimates. Safety metrics are based on downstream  data and are provided as a reference point only. CONFIDENTIAL v IPA Table 1 Summary of Safety and Cost Outcome Metrics for the Angsi-D Development Project Angsi-D Development Project Outcome Metric Estimated at Sanction Actual Industry Average Top Quartile/ Range Safety (per 200,000) Recordable Incident Rate Not App. 0.56 1.033 Not Avail. DART Rate4 Not App. 0.00 0.373  Not Avail. RM/BOE Metrics (Money of the Day) (Level 1) Asset Development Cost Regional RM/BOE5 (Index) 14.65 (0.85) Not Avail.   6 17.25 (1.00) Not App. Non-Export Facilities Regional RM/BOE7 (Index) 7.37 (0.65) 9.73 (0.86) 11.27 (1.00) 4.04 – 26.10 Wells RM/BOE8 (Index) 7.28 (1.07) Not Avail. 6 6.80 (1.00) 2.35 – 12.13 Asset Development Cost Global RM/BOE6 (Index) 14.65 (0.75) Not Avail.   6 19.52 (1.00) Not App. Non-Export Facilities Global RM/BOE7  (Index) 7.37 (0.58) 9.73 (0.0.76) 12.72 (1.00) 4.02 – 25.94 Wells RM/BOE8 (Index) 7.28 (1.07) Not Avail. 6 6.80 (1.00) 2.35 – 12.13 Concept Cost Effectiveness (Level 2) – RM Million Wells (Cost Index) 464 (1.03) Not Avail 6 449 (1.00) 307 (0.68) Recovery per Well (MMBOE/well) 6 49 1110 7 – 16 Component Cost Effectiveness (Level 3) – RM Million Total Facilities Regional   (Weighted Cost Index)  804 (2.14) 674 (1.79) 376 (1.00) Not Avail.   – AnDP-D Regional (Cost Index)11  470 (1.58) 406 (1.36) 299 (1.00) Not Avail.   – Pipeline Regional (Cost Index) 334 (4.34) 264 (3.43) 77 (1.00) 55 (0.74) Total Facilities Global  (Weighted Cost Index) 804 (1.59) 670 (1.33) 505 (1.00) Not Avail.   – AnDP-D Global (Cost Index)11 470 (1.33) 406 (1.15) 352 (1.00) Not Avail.   – Pipeline Global (Cost Index) 334 (2.18) 264 (1.73) 153 (1.00) 112 (0.76) Wells (Cost Index) 464 (0.62) Not Avail. 6 745 (1.00) 562 (0.75) Deviation Asset Not App. Not Avail. 6 7 percent Not App. Facilities Not App. -16 percent 12 percent Not App. Wells Not App. Not Avail. 6 13 percent Not App. 3 Industry metrics from IBC 2008 4 DART: A work-related injury or illness resulting in days away from work, restricted duties, or job transfer. 5 Excludes export and onshore costs. Asset $/BOE is additive of the facilities $/BOE and the wells $/BOE. 6 The wells program has not been completed. The team estimates that drilling will be completed in May 2010. 7 Non-Export Facilities $/BOE is based on estimated life-of-project production stream (Facilities’ base design). 8 Wells $/BOE is based on the “actual” life-of-project production stream, or the estimate that is updated at the start of  production. In this case, the estimated life-of-project production stream was used. 9 As of May 2009. 10 Average is based on 32 oil projects in water depth <100 meters and > 20 meters. 11 Benchmark is based on UCEC data. CONFIDENTIAL vi IPA"
2009 Angsi D Dev CLO (Final).pdf,"At the component level, the capital cost for the project’s intrafield pipelines was substantially higher than Industry. The result was driven by high installation and transportation costs. The project team’s base plan was to complete the installation of the intrafield pipelines in one campaign; however, the installation vessel promised to the Angsi-D Development Project team was given to other higher-priority projects within the PCSB portfolio. The installation campaign was completed over two sessions. The installation vessels and contracts were managed (which includes scheduling of all installation vessels) by the Department of Installation (DFIN12) within PCSB, and the project team had little control over the type of vessels and contract rates.  "
2009 Angsi D Dev CLO (Final).pdf,The AnDP-D platform cost was benchmarked using Upstream Cost Engineering
2009 Angsi D Dev CLO (Final).pdf,"Committee (UCEC13) metrics because the AnDP-D platform can support a tender assisted drilling (TAD) rig, which is not part of the wellhead platform (WHP) cost model. As a result, the platform cost index should be interpreted with caution, because it does not take into account variables such as water depth, maximum wave height, hydrocarbon throughput, and number of slots. The analysis shows that the AnDP-D platform cost is more expensive than other projects in Asia (and global projects) of similar jacket and topside weight. If the topside dry weight and water depth are considered, the jacket weight is more than 27 percent heavier than a typical similar project executed in Asia and more than 16 percent heavier than projects executed globally. These results support IPA’s conclusion that the Angsi-D platform was installed at a premium compared with Petronas’ competitors in the upstream industry. "
2009 Angsi D Dev CLO (Final).pdf,"Conversely, compared to similar projects, the Angsi-D Development Project’s wells estimated cost of RM464 million was competitive. The concept for this field and reservoir complexity is industry average as indicated by the cost index of 1.03. If the team’s prediction that drilling costs will not deviate from the estimate holds true, the drilling team will maintain its drilling competitiveness (Wells Component Cost Index of 0.62).  "
2009 Angsi D Dev CLO (Final).pdf,"Finally, the Angsi-D Development Project experienced a cost decrease of 16 percent for  the facilities scope. The cost deviation was predominantly driven by the team’s ability to  negotiate a lower contract price post project sanction."
2009 Angsi D Dev CLO (Final).pdf,12 DFIN manages all installation vessel contracts in PCSB. It is DFIN’s responsibility to schedule installation vessels for the project team once the project team has indicated the installation specifications and installation dates. The intent of having a centrally controlled installation department is to achieve economies of scale through contracting large fleets of installation and support vessels.  
2009 Angsi D Dev CLO (Final).pdf,"13 The UCEC Metrics Program is the basis of the cost ratio analysis presented in this report. The purpose of the program is to provide members of the UCEC with metrics to support development of conceptual estimates, support reviews of contractor estimates, assess company metrics against industry norms, improve internal company tools and databases, and improve asset evaluation and concept development.  "
2009 Angsi D Dev CLO (Final).pdf,"CONFIDENTIAL vii IPA Table 2 Summary of Schedule Outcome Metrics for the Angsi-D Development Project Angsi-D Development Project Outcome Metric Planned at Sanction Actual Industry Average  Top Quartile Effectiveness Facilities Execution Duration  (Schedule Index) 27 months  (1.17) 24 months14  (1.05) 23 months  (1.00) 20 months  (0.86) Well Construction Duration  (Schedule Index) 485 days (0.88) Not Avail.   15 553 days (1.00) 426 days   (0.77) Cycle Time Duration  29 months (1.25) 25 months14   (1.10) 23 months   (1.00) Not Avail. Deviation Facilities Execution Schedule Not App. -12 percent 14 19 percent Not Avail. As shown in Table 2, the facilities execution of 24 months was slightly slower than Industry, and the project underran its planned execution schedule by 12 percent. The Angsi-D Development Project was slightly more predictable than for similar projects in the industry,  which tend to overrun their planned schedules by 19 percent. The planned schedule was  considered aggressive by the team, but was moderately conservative compared to Industry."
2009 Angsi D Dev CLO (Final).pdf,"The actual execution schedule duration, start of detailed engineering to first oil, was 32 months. Approximately 8 months was removed or normalised from the actual execution duration because the project was put on hold until legal issues with the fabrication contractor were resolved. Therefore, the adjusted actual execution duration, as shown in Table 2, is 24 months. "
2009 Angsi D Dev CLO (Final).pdf,"The Angsi-D Development Project team was asked to fast track the project schedule to meet management’s first oil request. The project team reduced the definition and engineering phases to 3 months each by using the same WHP design as that of the Angsi-B platform. Moreover, the project team engaged detailed design before project sanction to allow adequate time for procurement and fabrication. Pre-sanction detailed design deviated from the PCSB project delivery process but was approved by management. To meet the first oil date the project team awarded the pipeline fabrication and long-lead equipment contracts prior to project sanction (which also deviated from the PCSB project delivery process). However, because the rig could not be secured as planned, the fast tracking was eroded yielding an industry average schedule result.  "
2009 Angsi D Dev CLO (Final).pdf,"The planned wells construction duration of 485 days is aggressive relative to Industry. At the time of the interview, the team had completed the first development well and had started drilling the second well. The wells program is estimated to be completed by April 2010, which would be a 44 percent schedule slip.  "
2009 Angsi D Dev CLO (Final).pdf,"The targeted first oil date of December 2008 was not achieved because the project team  could not secure a drilling rig. First oil was not achieved until the end of May 2009, which was 5  months late compared to the planned schedule. 14 The Facilities Schedule has been adjusted 8.8 months for time for RFSB to resolve legal issues with Carigali- PTTEP Operating Company (CPOC). PTTEP is a Thailand national petroleum exploration and production company. 15 The Wells program is estimated to be completed by May 2010. CONFIDENTIAL viii IPA Table 3 Summary of Life-of-Project Production Stream (Resource Promise) and Operability Metrics for the Angsi-D Development Project Angsi-D Development Project Outcome Metric Estimated at Sanction Change at First Production Industry Average PCSB Average Change in Life-of-Project Production Stream Attributed from Sanction to First Production 63.7 MMBOE Not Avail. -10 percent -7 percent Production Attainment in Months 7-1216 Not Avail. Not Avail. 82 percent 91 percent Table 3 shows the estimated resource promise at sanction compared with the change in  the estimate at first production and production attainment. The sanctioned resource promise is"
2009 Angsi D Dev CLO (Final).pdf,"63.7 MMBOE. However, it was downgraded by approximately 34 percent to 41.8 MMBOE after the subsurface optimised the depletion plan prior to the drilling campaign. At the time of the interview, first oil was not achieved and therefore the change in life-of-project production stream metric at first production is not reported.                                                        "
2009 Angsi D Dev CLO (Final).pdf,16 Production attainment data were not available at the time of the interview; they will be collected 12 months after  start up. CONFIDENTIAL ix IPA Asset Development Practices and Project Drivers IPA has developed a suite of metrics that evaluate the project’s practices and drivers at  sanction. Table 4 presents the metrics for the Angsi-D Development Project’s drivers and asset  development practices. Table 4 Summary of Project Practices and Drivers for the Angsi-D Development Project    (at Sanction) Driver or Practice Angsi-D Dev. Project Industry Average PCSB Average Best Practical  at Sanction Appraisal Strategy Aggressive Aggressive 23 percent of  projects Moderate 17 percent of   projects Not App. Reservoir Complexity I-27/35 I-15 I-70/100 35 32 40 39 Range:19 to 57 37 Range:19 to 57 Not App. Wells Complexity 54  52 Range:17 to 109 49 Range:19 to 109 Not App. FEL Index – Asset 6.46 (Fair) 6.55 (Fair) 8.08 (Screening) 4.00 to 5.50 Reservoir 6.08 6.00 6.86 4.50 to 5.50 Wells 6.26 6.67 7.13 5.00 to 6.00 Facilities (Platform) 6.95 (Fair) 7.31 (Fair) 9.11 (Screening) 3.75 to 4.75 Pipeline  6.33 (Fair) 6.10 (Fair) 7.80 (Screening) 4.25 to 4.75 Team Integration Integrated 50 percent 57 percent Yes Integration of Operations With Project Team Integrated 65 percent 71 percent Yes Technical Innovation of Facilities  Routine 63 percent 80 percent Not App. Team Experience With Facilities Technology Routine 57 percent 80 percent Not App. Technical Innovation of Wells  Routine 43 percent 50 percent Not App. Team Experience With Wells Technology Routine 46 percent 50 percent Not App. Facilities VIPs Used 11 percent 27 percent 9 percent 40 to 60 percent Subsurface VIPs Used 17 percent 35 percent 19 percent Not App.
2009 Angsi D Dev CLO (Final).pdf,"The appraisal philosophy for Angsi-D was Aggressive. The Angsi-D field was appraised with one well, and the remaining data were provided from previous drilling campaigns (data from over 100 wells) close to the Angsi-D field. However, the highly stacked and compartmentalized reservoir features in the Angsi-D field prohibited an accurate correlation with the nearby wells data. Based on the available subsurface data, the subsurface team achieved an industry average Reservoir Front-End Loading (FEL) Index. The Facilities FEL also matched Industry average, and the weakest area in definition was project execution planning (PEP). Pipeline FEL was also Fair, similar to the industry average but less defined than Best Practical at sanction. "
2009 Angsi D Dev CLO (Final).pdf,"Wells FEL was better than industry average at sanction, driven by the routine well designs. CONFIDENTIAL x IPA The Angsi-D Development Project scope was relatively conventional. PCSB has ample  experience in the region installing WHPs and pipelines. The platform design was based on the Angsi-B platform, which enabled the Angsi-D Development Project team to work around the lack  of experienced staff and perceived schedule pressures. The wells design was also relatively routine within PCSB. The technology employed is  industry-proven, but was new and potentially challenging to the team members. The subsurface  and drilling team conducted various technical peer reviews during the life of the project. The facilities team used 11 percent of the Asset and Facilities VIPs applicable to the Angsi-D Development Project, which is below the industry average of 27 percent of VIPs use. Nine VIPs were applicable to the Angsi-D Development Project, and the team used only 3D CAD during FEED and detailed engineering. The subsurface team applied one out of six  relevant Subsurface VIPs (SSVIPs), or 17 percent. The team used 3D visualization to analyse  the reservoir. Project Execution Discipline IPA evaluates Execution Discipline, which comprises several key factors that play a role  in the successful execution of E&P projects. IPA evaluates project control as measured by the Project Control Index (PCI); the incidence of key team member turnover; and the frequency and  impact of major late changes. Table 5 summarises the project execution discipline for the Angsi- D Development Project. Table 5 Summary of the Angsi-D Development Project’s Execution Discipline Project Execution Discipline Angsi-D Dev. Project Industry Average  PCSB Average Best Practice Project Control Index (PCI) Deficient Poor Poor Good Project Manager Turnover No 62 percent of projects 86 percent of   projects No Turnover Major Late Changes Yes 64 percent of projects 100 percent of   projects 0. The Angsi-D Development Project’s PCI rating was Deficient, which is lower than the Industry and PCSB averages of Poor. The lack of a project controls specialist and estimate  validation process contributed to the poor rating. The project experienced major late changes. Ongoing optimisation studies after sanction caused scope and design changes to the wells  campaign, which affected the drilling campaign’s cost and schedule. Integral to the project was  the experience and continuity of the project manager through project definition and execution. Unlike most PCSB projects, project manager turnover was not an issue for the Angsi-D Development Project. However, the project faced numerous turnovers in key staff positions  throughout execution. CONFIDENTIAL xi IPA CONCLUSIONS CONFIDENTIAL INDEPENDENT PROJECT ANALYSIS1 CI = 1.33 SI = 1.04 Slip = -13% Growth= -16% Facilities FEL 6.95 Reservoir FEL Appraisal Aggressive Reservoir Complexity Pathway for the Angsi-D Development Project Target Setting Wells Technology ICD/PDG New to Team Average Complexity WCI- 54 Integrated Asset Team Project Execution Discipline: PCI: Deficient Late Design Change: Yes PM Turnover: No Facilities Technology: Routine Asset Outcomes Facilities Outcomes Wells Outcomes Risk                <<< Less                 -------- More   >>> Results           <<< Better               -------- Worse >>> MediumLow High Wells FEL 6.26 Reservoir FEL 6.08 CI =1.58 SI = 1.18 CI = 0.62 SI = 0.88 Medium 34 PDA = N/A Reserves Downgrade=N/A CI = Cost Index SI = Schedule Index PDA = Production Attainment Pipelines FEL 6.33 Figure 1 IPA assessed the Angsi-D Development Project drivers and the preparation achieved by  the project team at sanction. The drivers are related to the project outcomes through the"
2009 Angsi D Dev CLO (Final).pdf,"Pathway to Success, shown in Figure 1. The Angsi-D Development is a field with a fast-tracked schedule mandated by management. The project team faced four challenges in execution: schedule pressure to achieve first oil, lack of basic data from the aggressive appraisal strategy, high attrition rate of team members, and the lack of a project control specialist on the project team.  "
2009 Angsi D Dev CLO (Final).pdf,"The facilities scope achieved industry average definition at sanction. The designs were standardised from a previous Angsi project to minimise risks from the schedule pressures and the inexperienced project team. The facilities cost was more expensive than industry average based on weight and water depth. The project had a normalised cost underrun, which was realised through negotiations with contractors post board approval of the estimate.  "
2009 Angsi D Dev CLO (Final).pdf,The execution duration was industry average but faster than the target duration.
2009 Angsi D Dev CLO (Final).pdf,"Because the project team was unable to secure a rig in time, first oil was late by 5 months, which eroded fast track efforts. Despite the routine facilities technology, adopting a similar platform design from previous phases, and performing detailed engineering prior to project sanction, the project team’s cost and schedule estimate was too conservative resulting in an expensive facility. The poor facilities outcomes are also attributed to the lack of control over the installation vessels and rig.  "
2009 Angsi D Dev CLO (Final).pdf,"LESSONS LEARNED Based on our analysis of historical industry performance and our assessment of the Angsi-D Development Project, we present the following key lessons for future projects. CONFIDENTIAL xii IPA"
2009 Angsi D Dev CLO (Final).pdf,"1. Using previous Angsi design helped schedule performance. The AnDP-D platform was based on the Angsi-B WHP design. The team modified the existing design to suit the seabed strength and drilling rig requirements. This approach was much faster than starting the AnDP-D design from scratch, and was especially helpful given the project’s time constraints. "
2009 Angsi D Dev CLO (Final).pdf,2. Completing subsurface studies before engineering definition reduces late changes.
2009 Angsi D Dev CLO (Final).pdf,"The Angsi-D Development Project began engineering before key subsurface study results were available to support and finalise the well construction scope. The project team suffered from several well design changes as a result. Historically, projects that obtained all basic data before entering the Define phase achieved their business objectives more often than did projects that lacked timely basic data. Providing basic subsurface data early improves operability and production attainment.  "
2009 Angsi D Dev CLO (Final).pdf,3. Continuity in key discipline positions helps achieve predictable project outcomes.
2009 Angsi D Dev CLO (Final).pdf,"The Angsi-D Development Project suffered a high number of key team member turnovers. Project team turnovers are detrimental to the execution schedule and erode predictability of project outcomes. Turnover of key team members should be avoided. If turnover is unavoidable, Petronas should give proper attention to retention, succession, and transition plans to ensure an adequate and timely handover of project activities and responsibilities, including the communication of issues that have already been resolved. "
2009 Angsi D Dev CLO (Final).pdf,"4. Good project execution planning is key to project success. The project execution  plan (PEP) is a key document in any project and serves as the basis for the project  team to effectively progress into each phase. Although the Angsi-D Development Project was not complicated in terms of technology, it was schedule and resource  constrained. The weak PEP, led by a weak schedule, hindered the project team’s  efforts to respond to the constraints. 5. Estimate validation helps to achieve cost competitiveness. The project controls for  the Angsi-D Development Project were Deficient. The lack of estimate validation  contributed to the high costs compared with Industry for similar WHP and pipelines."
2009 Angsi D Dev CLO (Final).pdf,"The facilities scope underran, and the cost estimates could have been significantly more accurate if they had been validated by an in-house estimating group. Given the lack of team control in the installation vessel and rig rates, project teams for upcoming projects should be vigilant in comparing recently completed projects to ensure the vessel and rig rates are in line with industry averages.    "
2009 Angsi D Dev CLO (Final).pdf,CONFIDENTIAL xiii IPA TABLE OF CONTENTS PREFACE ..................................................................................................................................................... II EXECUTIVE SUMMARY .............................................................................................................................IV BENCHMARKS........................................................................................................................................IV CONCLUSIONS.......................................................................................................................................XI LESSONS LEARNED ..............................................................................................................................XI INTRODUCTION...........................................................................................................................................1 OBJECTIVES............................................................................................................................................1 FIELD DESCRIPTION ..............................................................................................................................1 PROJECT SCOPE....................................................................................................................................2 PROJECT HISTORY ................................................................................................................................2 PROJECT MANAGEMENT ISSUES ........................................................................................................4 BASIS OF COMPARISON ...........................................................................................................................6 WELLS $/BOE DATASET.........................................................................................................................6 FACILITIES $/BOE DATASET..................................................................................................................7 FACILITIES SCOPE DATASET................................................................................................................7 WELL CONSTRUCTION DATABASE ......................................................................................................8 PROJECT OUTCOMES ...............................................................................................................................9 COST ........................................................................................................................................................9 SCHEDULE.............................................................................................................................................22 PROJECT PRODUCTION STREAM AND OPERABILITY.....................................................................24 PROJECT PRACTICES AND DRIVERS ...................................................................................................27 APPRAISAL PHILOSOPHY....................................................................................................................27 SUBSURFACE COMPLEXITY ...............................................................................................................27 FRONT-END LOADING..........................................................................................................................28 PIPELINE FRONT-END LOADING.........................................................................................................35 TEAM DEVELOPMENT INDEX..............................................................................................................38 USE OF VALUE IMPROVING PRACTICES...........................................................................................39 EXECUTION DISCIPLINE..........................................................................................................................41 PROJECT CONTROL INDEX.................................................................................................................41 PROJECT MANAGER TURNOVER.......................................................................................................42 MAJOR LATE CHANGES.......................................................................................................................42 CONCLUSIONS AND LESSONS LEARNED............................................................................................43 CONCLUSIONS......................................................................................................................................43 LESSONS LEARNED .............................................................................................................................44 APPENDIX A: COST BENCHMARK ANALYSIS......................................................................................... I PLATFORM JACKET WEIGHT ANALYSIS............................................................................................... I PLATFORM JACKET COST ANALYSIS .................................................................................................. II PLATFORM TOPSIDE COST ANALYSIS ............................................................................................... III APPENDIX B: TEAM TURNOVER RESEARCH ........................................................................................IV APPENDIX C: THE CONTEXT OF UPSTREAM BENCHMARKING..........................................................V PROJECT “GIVENS” ................................................................................................................................V ASSET DEVELOPMENT PRACTICES.....................................................................................................V DRIVER METRICS...................................................................................................................................VI CONFIDENTIAL xiv IPA EXECUTION DISCIPLINE METRICS......................................................................................................VI OUTCOME METRICS..............................................................................................................................VI OPERABILITY/PRODUCTION ATTAINMENT METRICS......................................................................VII APPENDIX D: FRONT-END LOADING INDEX........................................................................................VIII RESERVOIR FEL...................................................................................................................................VIII WELL CONSTRUCTION FEL..................................................................................................................IX FACILITIES FEL........................................................................................................................................X ASSET FEL .............................................................................................................................................XII APPENDIX E: TEAM DEVELOPMENT INDEX ........................................................................................XIII APPENDIX F: VALUE IMPROVING PRACTICES................................................................................... XIV APPLICATION AND MEASUREMENT OF VIPS ................................................................................. XIV VALUE IMPROVING PRACTICES DEFINED ...................................................................................... XIV APPENDIX G: UPSTREAM FACILITIES PROJECT CONTROL INDEX................................................ XVI APPENDIX H: COST ADJUSTMENTS................................................................................................... XVII APPENDIX I: OUTCOME METRICS METHODOLOGY ........................................................................ XVIII COST PER BARREL OF OIL EQUIVALENT ($/BOE)........................................................................ XVIII TOTAL FACILITIES COSTS............................................................................................................... XVIII PLATFORM COST.............................................................................................................................. XVIII PIPELINES COST............................................................................................................................... XVIII FPSO COST.......................................................................................................................................... XIX SUBSEA SYSTEM COST..................................................................................................................... XIX CONTINGENCY FOR NEW-BUILD FACILITIES ................................................................................. XIX DRILLING CONCEPT COST EFFECTIVENESS ................................................................................. XIX DRILLING COMPONENT COST EFFECTIVENESS ........................................................................... XIX SCHEDULE EVALUATION.................................................................................................................... XX CONFIDENTIAL 1 IPA INTRODUCTION OBJECTIVES
2009 Angsi D Dev CLO (Final).pdf,"The business objective for the Angsi-D Development Project was to develop oil and gas reserves in the southwest area of the field with monetization of 35 million stock tank barrels (MMstb) of oil, 4.4 MMstb of condensate (or 39 MMstb total liquids), 82 billion standard cubic feet (Bscf) of non-associated gas, and 62 Bscf of associated gas (or 144 Bscf total gases). "
2009 Angsi D Dev CLO (Final).pdf,"Petronas Carigali Sdn Bhd’s (PCSB) business driver was to achieve first oil production in the  fourth quarter of 2007. This first-oil target was then changed and confirmed for 11 December 2008 at project sanction. The development seeks to provide incremental 15 to 20 kstb oil to  existing production. The Angsi-D Development Project’s objective was to develop the Angsi-D field with a  four-legged drilling platform (AnDP-D) and drill 11 development wells to recover oil and gas from  the Angsi-D field. The plan was to send the full well stream (FWS) to the AnDR-A platform,  about 11 km away. First oil was reached on 31 May 2009 with an approximate 16 percent cost underrun. The cost estimate at sanction was RM1,267 million. The wells program is ongoing, has slipped  from the planned schedule, and the last well is expected to be complete by 9 April 2010. FIELD DESCRIPTION"
2009 Angsi D Dev CLO (Final).pdf,"The Angsi field has five areas: Main, West, North, South, and Southwest. The areal distribution of the hydrocarbon-bearing reservoirs is the basis for these areas. The Angsi-D field is located in the Southwest area, and its reserves are from the Group I sands. The major oil contributors are I-27 and I-35U with additional production from I-15L, I-100, and I-72. The hydrocarbon accumulation is composed of fluvial clastics of the Miocene. "
